"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"E01","2015-02-20",50.3,61,-3.67
"E01","2015-07-13",75.2,65.6,3.52
"E01","2015-07-14",75.2,65,3.57
"E01","2016-11-16",45,59.5,-4.18
"E01","2016-11-20",38.6,52.1,-3.81
"E01","2016-12-11",69.7,54.8,5.22
"E01","2017-10-29",66,55.6,3.65
"E01","2017-11-04",53.2,66.1,-3.75
"E01","2017-11-17",62.2,72.5,-3.74
"E01","2017-11-18",57.3,66.8,-3.58
"E01","2017-11-19",61,72.4,-3.91
"E01","2017-12-06",64.3,74.3,-3.61
"E01","2017-12-26",74.7,85.4,-3.67
"E02","2015-02-20",62.7,76.2,-3.95
"E02","2015-02-21",69.6,82.6,-4.01
"E02","2015-07-14",73.5,86,-3.64
"E02","2015-09-13",65.3,76.8,-3.52
"E02","2015-09-14",62.1,74.4,-3.55
"E02","2015-11-04",64.9,77.2,-3.56
"E02","2015-11-05",71.3,82.7,-3.51
"E02","2016-01-27",59.8,78.1,-4.41
"E02","2016-01-28",42.5,69.3,-6.45
"E02","2016-02-01",69.4,84.7,-3.69
"E02","2016-08-24",56.5,74.8,-4.42
"E02","2016-11-16",51.5,66,-3.51
"E02","2016-11-20",35,61.9,-6.48
"E02","2016-11-21",40.6,57.7,-4.64
"E02","2017-01-23",64.3,82,-4.27
"E02","2017-01-24",60.6,80.8,-4.85
"E02","2017-02-10",79.4,92.6,-3.55
"E02","2017-06-06",73.9,87.6,-3.75
"E02","2017-10-30",64.6,80.2,-3.78
"E02","2017-11-04",67.6,80.8,-3.64
"E03","2015-02-19",63.2,75.3,-3.69
"E03","2015-02-20",56.6,69.8,-4.93
"E03","2015-11-04",56.3,70.2,-5.17
"E03","2015-11-05",65.2,73.1,-3.59
"E03","2016-01-31",65.7,75.3,-3.53
"E03","2016-10-06",73.7,80.3,-3.56
"E03","2016-10-07",73.5,81.2,-3.9
"E03","2016-10-26",59.2,68.5,-3.54
"E03","2016-10-27",53.6,64.2,-4.07
"E03","2016-11-02",68.1,75.6,-3.79
"E03","2016-11-16",52.3,64.1,-3.71
"E03","2016-11-20",50,64.2,-3.63
"E03","2017-01-24",80.5,68,3.79
"E03","2017-02-13",64.4,79,-4.43
"E03","2017-11-04",64.8,74.5,-3.63
"E03","2017-11-08",66.1,74.9,-3.58
"E03","2017-11-09",66.4,76.8,-3.53
"E03","2017-11-17",66,75.5,-3.55
"E03","2017-11-18",61.4,72.2,-3.8
"E03","2017-11-19",64.8,76.5,-3.56
"E04","2015-02-20",81.1,49.9,3.52
"E04","2016-11-25",56.6,85.6,-3.61
"E05","2016-01-23",59.4,72.7,-3.92
"E05","2016-01-27",55.4,67.9,-3.8
"E05","2016-11-16",51,65.5,-4.44
"E05","2016-11-20",50.4,62.1,-3.57
"E05","2016-12-30",73.7,84.4,-3.58
"E05","2017-01-23",55.3,70.2,-4.4
"E05","2017-01-24",52.4,68.9,-4.87
"E05","2017-07-11",63.7,77.3,-4.01
"E06","2016-06-14",69.4,91.9,-4.45
"E06","2016-06-20",77.7,95.9,-3.58
"E07","2015-02-20",97.2,61.2,3.54
"E07","2015-09-18",53.6,89.8,-3.58
"E07","2015-11-23",54.7,98.1,-4.28
"E07","2015-11-24",4.9,99.1,-5.38
"E07","2015-11-25",6.5,93.9,-5
"E07","2015-11-26",7.1,87.6,-4.6
"E07","2015-11-27",8.8,79.9,-4.07
"E07","2015-11-28",9.8,92.9,-4.75
"E07","2015-11-29",8.9,88.2,-4.54
"E07","2015-11-30",8.8,89.4,-4.61
"E07","2015-12-01",7.8,97.5,-5.12
"E07","2015-12-02",7,93.3,-4.93
"E07","2015-12-03",6.7,68.8,-6.12
"E07","2015-12-04",6.4,71.6,-3.73
"E07","2015-12-05",5.9,84.3,-4.49
"E07","2015-12-06",5.9,80.5,-4.27
"E07","2015-12-07",5.6,85.1,-4.55
"E07","2015-12-08",5.5,90.4,-4.85
"E07","2015-12-09",5.3,87.3,-4.69
"E07","2015-12-10",5.4,87.5,-4.69
"E07","2015-12-11",5.3,77.5,-4.14
"E07","2015-12-12",5.4,69.8,-3.69
"E07","2015-12-13",4.9,72.2,-3.85
"E07","2015-12-14",5.3,90.2,-4.85
"E07","2015-12-15",5.3,102.1,-5.53
"E07","2015-12-16",44.7,93.9,-4.86
"E07","2016-01-28",91.3,25.1,3.73
"E07","2016-06-03",66.6,102.9,-3.59
"E07","2016-06-04",65.9,99,-3.67
"E07","2016-06-08",61.7,97.7,-3.55
"E07","2016-11-04",52.5,87.6,-3.89
"E07","2016-11-05",54.8,94.6,-3.93
"E07","2016-11-25",54.4,89.4,-4.21
"E07","2017-11-09",53.9,85.2,-3.55
"E07","2017-11-10",55,86.3,-3.52
"E07","2017-11-11",59.8,91.4,-3.55
"E08","2015-04-18",83,95.2,-4.39
"E08","2015-09-14",62.6,74.3,-3.71
"E08","2016-01-11",67.1,85.3,-5.23
"E08","2016-01-12",70,89.4,-5.58
"E08","2016-01-13",74.8,90.6,-4.55
"E08","2016-03-26",73.1,94.1,-6.05
"E08","2016-03-27",73.4,93,-5.64
"E08","2016-03-28",76.9,91.6,-4.25
"E08","2016-04-03",90.1,100.5,-3.74
"E08","2016-11-16",68.6,78.5,-3.66
"E08","2016-11-20",57.7,69.8,-3.82
"E08","2017-01-23",70.8,85.3,-4.49
"E08","2017-01-24",71.1,83.1,-3.71
"E08","2017-08-14",69.5,81,-3.55
"E08","2017-12-26",88.6,98.2,-3.58
"E09","2015-01-02",93.3,83.6,3.83
"E09","2015-02-19",70.2,83.2,-3.9
"E09","2015-02-20",65.4,77.9,-4.34
"E09","2015-03-21",76.9,86.4,-3.51
"E09","2015-03-22",79.5,90.5,-3.93
"E09","2015-09-12",66.4,75.6,-3.52
"E09","2015-09-13",64.9,75.8,-3.77
"E09","2015-09-14",60.9,73.9,-3.91
"E09","2015-11-03",65.3,77.5,-4.24
"E09","2015-11-04",62.6,76,-4.04
"E09","2016-01-27",72.7,82.2,-3.56
"E09","2016-10-26",69.6,79.6,-3.74
"E09","2016-10-27",57.1,72.7,-4.7
"E09","2016-11-14",74.7,84.7,-3.71
"E09","2016-11-15",59.8,76.6,-5.06
"E09","2016-11-16",50.5,71.9,-6.42
"E09","2016-11-17",63.3,75.8,-3.74
"E09","2016-11-20",52.3,67.7,-4.63
"E09","2016-11-21",48.8,64,-4.57
"E09","2016-12-05",83.8,85.9,-3.69
"E09","2016-12-06",82.4,85.5,-3.66
"E09","2016-12-07",84.3,85.9,-4.02
"E09","2016-12-08",82.2,85.6,-3.52
"E09","2016-12-09",81.4,85,-4.15
"E09","2016-12-10",77.2,82.8,-3.71
"E09","2016-12-11",81.4,84.2,-3.7
"E09","2016-12-12",86.6,86,3.63
"E09","2016-12-13",83.3,85.5,-3.53
"E09","2016-12-14",83.4,85.8,-3.54
"E09","2016-12-15",88.3,86.5,3.71
"E09","2016-12-16",91.1,86.8,3.54
"E09","2016-12-17",86.3,86.3,3.79
"E09","2016-12-18",85.7,86.2,-3.71
"E09","2016-12-19",87.1,86.3,3.78
"E09","2016-12-20",84.9,86.1,-3.78
"E09","2016-12-21",77.9,83.7,-4.17
"E09","2016-12-22",72.5,82.7,-3.55
"E09","2016-12-23",78.9,83.7,-4.08
"E09","2016-12-24",86.1,86.2,-3.54
"E09","2016-12-25",86.3,86.2,3.52
"E09","2016-12-26",88.5,86.1,3.74
"E09","2016-12-27",84.3,85.8,-3.54
"E09","2016-12-28",89.6,85.7,3.94
"E09","2016-12-29",79.1,84,-3.59
"E09","2016-12-30",86.3,86.3,3.86
"E09","2016-12-31",86,86.2,-3.59
"E09","2017-10-30",86.3,85.8,3.52
"E09","2017-12-20",85.7,86.2,-3.57
"E09","2017-12-21",85.1,86.1,-3.72
"E09","2017-12-22",88.3,86.3,3.69
"E09","2017-12-23",81.8,85.6,-3.91
"E09","2017-12-24",81.3,85.4,-3.59
"E09","2017-12-25",82.9,86.3,-3.97
"E09","2017-12-26",86.4,86.3,3.81
"E09","2017-12-27",83.6,86.3,-3.64
"E09","2017-12-28",81.4,85.8,-3.76
"E09","2017-12-29",81.2,85.8,-3.93
"E09","2017-12-30",83.2,86.5,-3.82
